Dataset,Subset,Source_Datatype,Model,Filtered_MAE,N_kept,N_total,N_excluded
PA26,Proton Affinities,Thermochemistry,MACE-POLAR-1-M,2.342065055814702,26,26,0
PA26,Proton Affinities,Thermochemistry,MACE-POLAR-1-S,4.046593151392259,26,26,0
PA26,Proton Affinities,Thermochemistry,wB97M-V,1.503315381905575,26,26,0
PX9,Proton Transfer,Barrier Height,MACE-MP-0b3,17.317515182547297,9,9,0
PX9,Proton Transfer,Barrier Height,MACE-OMOL-0-100M,3.4150478680655114,9,9,0
PX9,Proton Transfer,Barrier Height,MACE-OMOL-0-4M,3.9908312973593842,9,9,0
PX9,Proton Transfer,Barrier Height,MACE-POLAR-1-L,1.697555332253185,9,9,0
PX9,Proton Transfer,Barrier Height,MACE-POLAR-1-M,2.7293283316619665,9,9,0
PX9,Proton Transfer,Barrier Height,MACE-POLAR-1-S,3.009846956679455,9,9,0
PX9,Proton Transfer,Barrier Height,wB97M-V,1.8165338922457357,9,9,0
RC21,General Reaction Energies,Thermochemistry,MACE-MP-0b3,26.062099302324054,19,21,2
RC21,General Reaction Energies,Thermochemistry,MACE-OMOL-0-100M,8.55188607287137,13,21,8
RC21,General Reaction Energies,Thermochemistry,MACE-OMOL-0-4M,19.540778159990136,13,21,8
RC21,General Reaction Energies,Thermochemistry,MACE-POLAR-1-L,2.691498477525973,19,21,2
RC21,General Reaction Energies,Thermochemistry,MACE-POLAR-1-M,2.50056817417024,19,21,2
RC21,General Reaction Energies,Thermochemistry,MACE-POLAR-1-S,2.5112785001027915,19,21,2
RC21,General Reaction Energies,Thermochemistry,wB97M-V,1.7436870102355355,19,21,2
RSE43,Radical Stabilization,Thermochemistry,MACE-MP-0b3,8.099161522405417,43,43,0
RSE43,Radical Stabilization,Thermochemistry,MACE-OMOL-0-100M,4.9703966720803106,43,43,0
RSE43,Radical Stabilization,Thermochemistry,MACE-OMOL-0-4M,4.521317208711959,43,43,0
RSE43,Radical Stabilization,Thermochemistry,MACE-POLAR-1-L,0.6317891524995265,43,43,0
RSE43,Radical Stabilization,Thermochemistry,MACE-POLAR-1-M,0.8068181697065814,43,43,0
RSE43,Radical Stabilization,Thermochemistry,MACE-POLAR-1-S,1.3347020121689186,43,43,0
RSE43,Radical Stabilization,Thermochemistry,wB97M-V,0.7865778313128037,43,43,0
WCPT26,Proton Transfer,Barrier Height,MACE-MP-0b3,14.782412615177016,26,26,0
WCPT26,Proton Transfer,Barrier Height,MACE-OMOL-0-100M,1.7938355534788069,26,26,0
WCPT26,Proton Transfer,Barrier Height,MACE-OMOL-0-4M,1.7948822373451807,26,26,0
WCPT26,Proton Transfer,Barrier Height,MACE-POLAR-1-L,1.8045870824545927,26,26,0
WCPT26,Proton Transfer,Barrier Height,MACE-POLAR-1-M,1.965500201286028,26,26,0
WCPT26,Proton Transfer,Barrier Height,MACE-POLAR-1-S,2.1003667882100046,26,26,0
WCPT26,Proton Transfer,Barrier Height,wB97M-V,1.2132107697975487,26,26,0
YBDE18,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,15.561931764278134,18,18,0
YBDE18,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,5.431005682957916,18,18,0
YBDE18,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-4M,17.138149293838296,18,18,0
YBDE18,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-L,3.9156331321357687,18,18,0
YBDE18,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-M,2.133594337193079,18,18,0
YBDE18,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-S,6.640022556935148,18,18,0
YBDE18,Bond Dissociation Energies,Thermochemistry,wB97M-V,2.978937531800584,18,18,0
