Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
Styrene42,Isomerization,0.993686407837531,5.52754027329344,2.3687981549563184,3.1807276553140236,1.222651815224879,3.73745342125655,2.32582606413353,1.8820821957078226,2.3459320638162673,2.824976389555791,2.433348969855695,2.4180264719114026,3.2994966379452997,1.377884297637113,2.6234976481783416,3.7416534768787324
TAUT15,Isomerization,0.2617054031387421,1.1480013739844515,1.1057856197299634,0.8940582463136895,0.815586906458363,1.1836677825806607,0.7791825174500834,0.682858014321624,1.1903649485434185,1.1512486643946984,0.9065565951388986,0.45606105527981455,1.1040268361848626,0.33042433377282454,0.7127202656598258,0.5300768183576445
3B-69,Noncovalent,0.06319409287993495,0.06998825162946636,0.46878681671966516,0.04101257876243607,0.07741118032987204,0.09727558204004855,0.1517214488184892,0.15801591452072286,0.19881111119138992,0.04088120993051292,0.07333996687789035,0.26405298109631636,0.06660098641565895,0.1021220250478264,0.08860120391063353,0.9382253252273243
3BHET,Noncovalent,0.08713583063829937,0.18421709032199282,0.7806810790958807,0.11836051382417156,0.14985057074370328,0.1797897254520169,0.29429778609190493,0.27519367428955116,0.3095439413865764,0.1422872241607648,0.17835039444090453,0.41918806308051026,0.1350545437491388,0.15376626753310824,0.11866154896497809,0.05264948758334951
A19Rel6,Noncovalent,0.057355791037587894,0.5669675697224212,0.5652951336767519,0.31159494079532096,0.11545309020311575,0.13331319824633237,0.17866711923374468,0.18744342875505593,0.1940743054083097,0.27209501441008677,0.2719656714951951,0.48124553657638897,0.19352733677338152,0.05401996057972947,0.0410898427355826,0.04564171066340263
A24,Noncovalent,0.09886455951092983,0.9805370405545907,1.1522329668636628,0.5824507431621465,0.12706060220273063,0.21407956078053,0.20680041427933812,0.1666710945173743,0.19361822863265432,0.4661291289332403,0.41467684519986775,0.9390329338217726,0.310809487346244,0.0777625323394013,0.0595765573849823,0.04561799126220029
ADIM6,Noncovalent,0.32679002271382335,4.982475382956348,3.7981859037396433,3.5426555431576134,0.05463996910585348,0.8622030165206501,0.3547718519685452,0.4967071322196171,1.3627323507881943,3.4212740742561336,1.9369269883899964,4.14549116690512,2.15189849387404,0.10422747248705481,0.13186211121140354,0.16991637908808113
AHB21,Noncovalent,0.2536990234978949,0.7826108622742247,0.7855519663056372,0.6796348812340701,0.23954457018601966,1.086739553174329,0.9363499692488455,0.475522681314589,0.33971154390279645,0.9769647221327707,0.48314597418282157,0.6279953665956218,1.3591714347125727,0.22771949180586476,0.34246626867391017,0.23478432861642717
Bauza30,Noncovalent,0.4525145394226239,1.3194482564361574,1.1552276253614557,1.1129927905549064,0.43496949711252564,1.4919895417856908,0.9318707898375247,0.8861771384985017,0.6248404889599246,1.7687996866513034,1.1396398504986223,1.1208437038121297,1.9915490097240507,0.4505916586632496,0.6558232629569252,1.3137780889387216
BzDC215,Noncovalent,0.12594123249747155,1.6102342860555767,1.286960544941632,1.0423900370162784,0.16183528464062077,0.2454074688008122,0.22142123208314274,0.349644457599626,0.4173405331999209,0.8102139993338068,0.4989437431456917,1.2152306581519174,0.34835244377877395,0.13628207273781406,0.14938781707820645,0.17431684979634476
CARBHB8,Noncovalent,0.11061272651770712,0.8463785191949718,1.0388679916355392,0.42619409655522655,0.2786947630036349,0.2513090886749455,0.1308843337948879,0.26698454201638866,0.26982864241517823,0.3579147200921922,0.4564032419239082,0.6649096583633867,0.37861323774117217,0.18475681435806135,0.1757806992374718,0.23262353560252902
CHB6,Noncovalent,8.150021743095914,1.1336545474823125,1.5666326855683395,1.421300707004401,0.5192434865490446,1.8378802759757804,1.2895278590054051,2.2287873551246586,0.2420773732249574,1.0420284378686127,1.1374248022108209,1.0953869803531529,0.7120410243090447,0.7859437354276722,0.7257828542911771,0.5178134819956822
CT20,Noncovalent,0.10493395489910295,0.6547546512281122,1.3546090932777655,0.31839463395019446,0.11165540028202821,0.11888067481297473,0.19650411959888314,0.3137866072816833,0.15274803695894157,0.37433534095215293,0.27913503526112277,1.0552768018169347,0.2138338905514549,0.07300327989584826,0.07875838000290368,0.09969111539058943
DS14,Noncovalent,0.11865093565235436,1.6654392885263876,1.5110825628177413,1.0467672586107997,0.1771745768339815,0.272997274195586,0.20465991724524213,0.15156265178870573,0.20219079251665847,0.857760226566102,0.857704678530481,1.3268444500070526,0.4661454602768892,0.13266352378160126,0.08990121904971508,0.05442773905559866
