Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
SCONF,Intramolecular Noncovalent,0.9729100259389,4.838866201295156,1.5373193076940066,2.1756585940746422,1.0752456441652112,1.395735687449909,1.6600196397241362,1.894918905046609,3.2201612232470604,1.9898863853293942,1.85657809099289,2.3184045255600854,0.7228567247037303,0.8464333684266634,1.063631414135295,0.6504092935755614
UPU23,Intramolecular Noncovalent,0.7439414966572705,5.318253474414135,3.722309823689784,4.281833711751817,0.9370173648228164,1.9893140786339125,1.2840124972057674,1.7800686076047716,1.1285293303410286,4.077906290764321,3.140904290857867,4.432887461811414,2.4116881075739687,0.9426322967259866,1.1258568713730985,0.9168907674048116
AlkIsomer11,Isomerization,0.25291489520883026,24.32821261739683,9.83174427773091,17.496706086326736,0.5619147994793365,0.9586799626968987,1.1337932227184735,1.3239528836402998,3.949271135962286,17.364352998025005,13.445385075893483,17.319470200197873,8.870628121301479,1.2991933746302007,4.365188357521112,2.251856211753102
C20C246,Isomerization,0.4589672455028953,5.3029727463157,1.2967929269109375,3.2708025604310524,1.7040148805736008,2.0971736201331375,2.760420977168845,2.3406204766167398,1.2506991417417295,1.3823001365084422,2.172383262475796,1.3435811978092178,1.5622705443678693,0.7322319620929384,0.7111615606961041,3.544732944291887
C60ISO7,Isomerization,1.0915691011975686,0.9261573478875382,2.3254536553791256,5.070197454908396,2.1626481333265266,4.84082425501379,3.8270151734152735,4.138080481936394,0.967237889558392,1.1344816107138134,0.9980269952163265,3.4286477238314057,2.298456503230887,5.751657163363962,6.595107467781309,18.4302497819959
DIE60,Isomerization,0.4501680749419493,2.499130272168239,1.1250372463062497,1.2529539542121,1.161985649858338,0.7681815828593015,1.0642188788483966,1.343895108720692,1.4278722812093245,2.7453395450849025,2.445879087919636,2.020473314724828,2.5892393854471645,1.0839148881460552,1.2022516688684233,0.6500619574008721
EIE22,Isomerization,0.6856976538032602,5.074541089477249,2.148557508773365,2.556463648560418,1.6984537293387456,1.28340322246031,1.0244450659239108,1.356440815957883,2.2796797587535766,4.492785763238139,4.194466231828855,3.2925666205463147,4.465964353821872,0.6217270336836163,0.7134405360202953,1.3444700771216471
ISO34,Isomerization,0.41338326887300536,2.6051107314000745,1.3835126566723355,1.4979903029498087,0.6943245559811565,1.2256097236080836,1.4209687029021116,1.1037860480985147,1.7186328671698348,1.8932450354602939,1.6458668139146677,1.6677369531400643,1.5971951175307573,0.706048960438124,1.3315640530014448,0.40178508352604475
ISOL23,Isomerization,0.5376788890472041,5.404899563570063,2.094816322059618,3.0586854522606353,0.9998248992676616,1.5197710270889815,1.6235308711873724,1.2640251493802659,1.5158730729756562,2.243833071742418,2.9491508629299936,1.9973800521072478,1.8286036671855055,0.7977113986246873,1.5239153837327921,2.1046223862118207
ISOMERIZATION20,Isomerization,0.5947355851477752,1.339474859012897,1.3736232082289976,1.147145803616294,0.9889584562981617,1.1844056541562042,0.8609932158220457,1.154965245864217,1.1387275699575792,1.3078727636735852,1.0255773845233869,1.1488934010244147,1.729904588794117,1.1658823073474402,0.9709051905282113,1.5313527260852378
